Table ID,Table Name,Table Label,Record Family,Category,Is Custom,Is System,Field Count,Has Overview,Base Type,Description,Available,Feature Required,Permission Required
taxType,taxType,Tax Type,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_EB_RMS_MEMBER_BASE,CUSTOMRECORD_EB_RMS_MEMBER_BASE,Team Member Base,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
TegRcvbl,TegRcvbl,TEG_RCVBL,OTHER,System,No,Yes,0,No,,,Yes,,
tegataPayable,tegataPayable,Tegata Payable,OTHER,System,No,Yes,0,No,,,Yes,,
tegataReceivable,tegataReceivable,Tegata Receivable,OTHER,System,No,Yes,0,No,,,Yes,,
TegPybl,TegPybl,TEGPYBL,OTHER,System,No,Yes,0,No,,,Yes,,
CrmTemplate,CrmTemplate,Template,OTHER,System,No,Yes,0,No,,,Yes,,
CrmTemplateCategory,CrmTemplateCategory,Template Category,OTHER,System,No,Yes,0,No,,,Yes,,
CrmTemplateType,CrmTemplateType,Template Type,OTHER,System,No,Yes,0,No,,,Yes,,
TerminationReason,TerminationReason,Termination Reason,OTHER,System,No,Yes,0,No,,,Yes,,
Hcmterminationcategory,Hcmterminationcategory,Termination Reason Category,OTHER,System,No,Yes,0,No,,,Yes,,
term,term,Terms,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_TERMS_OF_TRADE_CODE,CUSTOMRECORD_TERMS_OF_TRADE_CODE,Terms of trade code,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMRECORD_NS_PS_MFG_UAT_TEMPLATE,CUSTOMRECORD_NS_PS_MFG_UAT_TEMPLATE,Test Cases,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMRECORD_NS_TS_TEST_ISSUE,CUSTOMRECORD_NS_TS_TEST_ISSUE,Test Issues,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
testPlugin,testPlugin,Test Plugin,OTHER,System,No,Yes,0,No,,,Yes,,
TextEnhanceAction,TextEnhanceAction,Text Enhance Action,OTHER,System,No,Yes,0,No,,,Yes,,
textScale,textScale,Text Scale,OTHER,System,No,Yes,0,No,,,Yes,,
TimeCode,TimeCode,Time Code,OTHER,System,No,Yes,0,No,,,Yes,,
TimeEntry,TimeEntry,Time Entry,OTHER,System,No,Yes,0,No,,,Yes,,
TimeModificationRequest,TimeModificationRequest,Time Modification Request,OTHER,System,No,Yes,0,No,,,Yes,,
TimeOffChange,TimeOffChange,Time-Off Change,OTHER,System,No,Yes,0,No,,,Yes,,
TimeOffPlan,TimeOffPlan,Time-Off Plan,OTHER,System,No,Yes,0,No,,,Yes,,
TimeOffRequest,TimeOffRequest,Time-Off Request,OTHER,System,No,Yes,0,No,,,Yes,,
TimeOffRule,TimeOffRule,Time-Off Rule,OTHER,System,No,Yes,0,No,,,Yes,,
TimeOffType,TimeOffType,Time-Off Type,OTHER,System,No,Yes,0,No,,,Yes,,
TimeBill,TimeBill,Time Tracking,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TimelineType,TimelineType,Time Type,OTHER,System,No,Yes,0,No,,,Yes,,
TimeZone,TimeZone,Time Zone,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMLIST_SAS_TOL_REAPPROVAL_TYPE,CUSTOMLIST_SAS_TOL_REAPPROVAL_TYPE,Tolerance Re-Approval Type,OTHER,System,No,Yes,0,No,,,Yes,,
Topic,Topic,Topic,OTHER,System,No,Yes,0,No,,,Yes,,
TopSellingItems,TopSellingItems,Top Selling Items,ITEM,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_LOT_SN_TRACE_GRID,CUSTOMRECORD_LOT_SN_TRACE_GRID,Trace-Grid,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMRECORD_LOTSN_TRACEABILITY_PREF,CUSTOMRECORD_LOTSN_TRACEABILITY_PREF,Trace Preferences,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
TrackingNumber,TrackingNumber,Tracking Number,OTHER,System,No,Yes,0,No,,,Yes,,
TrafficSource,TrafficSource,Traffic,OTHER,System,No,Yes,0,No,,,Yes,,
transaction,transaction,Transaction,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TransactionAccountingRuleActionLog,TransactionAccountingRuleActionLog,Transaction Accounting Rules Action Log,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TransactionAccountingRuleSet,TransactionAccountingRuleSet,Transaction Accounting Rule Set,TRANSACTION,System,No,Yes,0,No,,,Yes,,
transactionHistory,transactionHistory,Transaction Audit Trail,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TransactionBilling,TransactionBilling,Transaction Billing,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TransactionBinNumbers,TransactionBinNumbers,Transaction Bin Numbers,TRANSACTION,System,No,Yes,0,No,,,Yes,,
transactionDeletionReason,transactionDeletionReason,Transaction Deletion Reason,TRANSACTION,System,No,Yes,0,No,,,Yes,,
Formtemplate,Formtemplate,Transaction Form,OTHER,System,No,Yes,0,No,,,Yes,,
revRecEventTranLine,revRecEventTranLine,Transaction Line,OTHER,System,No,Yes,0,No,,,Yes,,
TransactionNumberingAuditLog,TransactionNumberingAuditLog,Transaction Numbering Audit Log,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TransactionStatus,TransactionStatus,Transaction Status,TRANSACTION,System,No,Yes,0,No,,,Yes,,
VendorPrepaymentDocumentStatus,VendorPrepaymentDocumentStatus,Transaction Status,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TaxLiabilityPaymentLegacyStatus,TaxLiabilityPaymentLegacyStatus,Transaction Status,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TaxLiabilityPaymentStatus,TaxLiabilityPaymentStatus,Transaction Status,TRANSACTION,System,No,Yes,0,No,,,Yes,,
transactionType,transactionType,Transaction Type,TRANSACTION,System,No,Yes,0,No,,,Yes,,
CustomFieldTranType,CustomFieldTranType,Transaction Type,OTHER,System,No,Yes,0,No,,,Yes,,
transfer,transfer,Transfer,OTHER,System,No,Yes,0,No,,,Yes,,
transferOrder,transferOrder,Transfer Order,OTHER,System,No,Yes,0,No,,,Yes,,
intercompanyTransferOrder,intercompanyTransferOrder,Transfer Order,OTHER,System,No,Yes,0,No,,,Yes,,
translationBundle,translationBundle,Translation Bundle,OTHER,System,No,Yes,0,No,,,Yes,,
workflowTriggerType,workflowTriggerType,Trigger Type,OTHER,System,No,Yes,0,No,,,Yes,,
transactionLineType,transactionLineType,Type,TRANSACTION,System,No,Yes,0,No,,,Yes,,
revRecRecurrenceType,revRecRecurrenceType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
vsoeDiscountType,vsoeDiscountType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
AmortizationType,AmortizationType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
PresentationItemType,PresentationItemType,Type,ITEM,System,No,Yes,0,No,,,Yes,,
paymentInstrumentStateType,paymentInstrumentStateType,Type,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TransactionName,TransactionName,Type,TRANSACTION,System,No,Yes,0,No,,,Yes,,
vsoeDeferralType,vsoeDeferralType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
paymentOperation,paymentOperation,Type,TRANSACTION,System,No,Yes,0,No,,,Yes,,
ItemSegmentType,ItemSegmentType,Type,ITEM,System,No,Yes,0,No,,,Yes,,
vsoeSopGroupType,vsoeSopGroupType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
subscriptiontermtype,subscriptiontermtype,Type,OTHER,System,No,Yes,0,No,,,Yes,,
EmploymentCategory,EmploymentCategory,Type,OTHER,System,No,Yes,0,No,,,Yes,,
paymentInstrumentType,paymentInstrumentType,Type,TRANSACTION,System,No,Yes,0,No,,,Yes,,
revRecChangeImpactType,revRecChangeImpactType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
SubscriptionMessageType,SubscriptionMessageType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
storeType,storeType,Type,OTHER,System,No,Yes,0,No,,,Yes,,
UnbilledReceivableGrouping,UnbilledReceivableGrouping,Unbilled Receivable Adjustment Journal Grouping,TRANSACTION,System,No,Yes,0,No,,,Yes,,
undeliveredEmail,undeliveredEmail,Undelivered Email,OTHER,System,No,Yes,0,No,,,Yes,,
DistanceUnit,DistanceUnit,Unit,OTHER,System,No,Yes,0,No,,,Yes,,
subscriptiontermunit,subscriptiontermunit,Unit,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_SHIPCOUNTRY_UOM,CUSTOMRECORD_SHIPCOUNTRY_UOM,Unit Conversion per Country,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
pickDecomposition,pickDecomposition,Units for Pick Decomposition,OTHER,System,No,Yes,0,No,,,Yes,,
